"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2035","@regression - empty username shows required error","webkit","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","628","@smoke - login response includes user details","api","2026-06-06","passed","2026-06-06","Authentication API","api/auth.spec.ts","",""
"","6142","@regression - continue shopping returns to inventory","webkit","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
"","5096","@regression - cart item names are correct","firefox","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
"","2617","@smoke - add item to cart updates badge count","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","3900","@smoke - add item to cart updates badge count","webkit","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","1758","@regression - empty username shows required error","firefox","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","2140","@smoke - login form is visible","webkit","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","2352","@smoke - logout redirects to login page","chromium","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","2369","@regression - continue shopping returns to inventory","chromium","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
"","1440","@regression - invalid credentials shows error","chromium","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","146","@regression - DELETE /users/:id returns 200 with isDeleted flag","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","149","@smoke - GET /users/:id returns a single user","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","373","@regression - token from login can authenticate subsequent request","api","2026-06-06","passed","2026-06-06","Authentication API","api/auth.spec.ts","",""
"","5952","@regression - continue shopping returns to inventory","firefox","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
"","2107","@regression - invalid credentials shows error","webkit","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","2305","@regression - add multiple items to cart","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","2794","@regression - remove item from cart","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","2939","@smoke - successful login with standard user","firefox","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","663","@regression - login response includes refresh token","api","2026-06-06","passed","2026-06-06","Authentication API","api/auth.spec.ts","",""
"","2053","@regression - locked user sees error message","firefox","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","2342","@regression - proceed to checkout navigates correctly","chromium","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
